fecha,producto,categoria,cantidad,precio_unitario,costo_unitario
2026-03-01,Cafe Premium,Alimentos,30,500,420
2026-03-02,Snack Familiar,Alimentos,45,300,260
2026-03-03,Yerba Organica,Alimentos,12,1200,600
2026-03-04,Detergente Eco,Limpieza,8,900,500
2026-03-05,Pack Escolar,Libreria,3,3000,2200
2026-03-07,Cafe Premium,Alimentos,24,500,420
2026-03-09,Snack Familiar,Alimentos,38,300,260
2026-03-12,Shampoo Familiar,Cuidado personal,9,1500,900
2026-03-15,Yerba Organica,Alimentos,7,1200,600
2026-03-18,Detergente Eco,Limpieza,6,900,500
2026-03-20,Pack Escolar,Libreria,2,3000,2200
2026-03-24,Cafe Premium,Alimentos,18,500,420
